1,1,I840,COST ITS SET
1,1,I720,ATE ITS SET
1,1,I600,COST ITS ITS
1,1,I480,COST ITS SET
1,1,I360,COST MOUSE SET
1,1,I240,THOSE MOUSE OUT
1,1,I060,COST ITS ITS
1,1,base,IS COST MISS SET
1,1,B060,COST COST
1,1,B240,COST ITS ITS
1,1,B360,COST MISS SET
1,1,B480,IS MISS UTMOST SET
1,1,B600,IS MISS
1,1,B720,ITS COST ITS UTMOST ITS
1,1,B840,SET COST MISS
1,1,jumble,COST MISS
1,2,I840,WENT LIGHT GETS
1,2,I720,SET SITE GOT
1,2,I600,SET LOST GOT GOT
1,2,I480,TO TO LIKE ITS
1,2,I360,SET LOST SITE ITS
1,2,I240,ON LET GOT GOT
1,2,I060,TO LIKE TOO
1,2,base,EYE LIKE GOT TOO
1,2,B060,TO LOST GOT TOO
1,2,B240,TO ITS
1,2,B360,LET LOST ITS
1,2,B480,ON ON GOT GOT
1,2,B600,NEED TO LIKE GETS HOT
1,2,B720,USING IN TAKES GETS USING
1,2,B840,SUN YET LOST GOT YET
1,2,jumble,SET LINES IT'S YOUNG
1,3,I840,CAST
1,3,I720,COST CAST SET EYE GOT JUICE THAT
1,3,I600,EAT EAT CAST CAST CAST SET
1,3,I480,COST EAT CAST SET
1,3,I360,SET QUICK SHUT COST SET
1,3,I240,SET HOT HOT ITS SHUT AT CAST
1,3,I060,SET COST EAT QUICK THAT THAT QUESTION
1,3,base,SET QUICK SHUT EAT
1,3,B060,HOT COST CAST STORE FIRST SET
1,3,B240,COST GOT SET OUTER SET
1,3,B360,SET OUT ROAST RISE OUT EAT TAKE CAST YET COST
1,3,B480,SET GOT CAST
1,3,B600,SET EAT CAST
1,3,B720,SET DONT EAT
1,3,B840,HOT HOT AT GOT EAT SET STEEP HOT
1,3,jumble,OUT SHUT QUESTION
1,4,I840,ITS COST IDIOTIC VOICE ENTER EAT THAT CATCH SET
1,4,I720,BIT COST SET THAT TWICE OUT SHUT TEA YOU GOT OUT
1,4,I600,ATE DONT HOT THINK TIM MORNING HOT DONT HOT
1,4,I480,LET GOING SHUT ITS HERE GONE CATCH GOT
1,4,I360,SET SHUT HIS GOT TRAP CATCH
1,4,I240,WITH HOT GETS ITS WROTE TWO OUT FEET CATCH
1,4,I060,ITS CAST COST STORE SET GOT CAST
1,4,base,TO TOO TOO TO GOING HOT GOLD DOCTOR
1,4,B060,THE THE LONGER THERE FIRES HERE SET
1,4,B240,WITH GOT EIGHT ITS THAT
1,4,B360,INTO GOT SITE TO WANT TO INTO FUTURE
1,4,B480,INTO TO NOT TO WROTE HEAR TOO
1,4,B600,HOT ON GOT GONE SHUT ON ORANGE WENT CATCH
1,4,B720,ATE ATE AT CAST CATCH
1,4,B840,BOTH ENTER GONE SITE ITS GONE SET CATCH
1,4,jumble,GOT GOT WROTE OTHER GOT ABOUT CATCH
1,5,I840,TEA GONE AREA THEN TEA AN AREA AREA RAIN GONE
